title,location,estimation,viewCount,reviewCount,foodType,price,runTime,geo_1,geo_2,geo_3,geo,위도,경도
양철지붕,서울시 강남구 신사동 561-17,3.9,21351.0,32.0,기타 한식,만원-2만원,17:00 - 04:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"벤스쿠키
                                    (신사점)",서울시 강남구 신사동 518-10 1F,3.9,32943.0,87.0,카페 / 디저트,만원 미만,11:30 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
윌비,서울시 강남구 신사동 517-4 M스페이스빌딩 1F 101호,3.9,3251.0,11.0,카페 / 디저트,만원 미만,월-금: 08:30 - 22:00 토-일: 10:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
콘유,서울시 강남구 신사동 517-25,3.9,4383.0,8.0,이자카야 / 오뎅 / 꼬치,2만원-3만원,17:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
이웃집통통이,서울시 강남구 신사동 556-29 101호,3.9,7458.0,11.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
진도켄이자카야,서울시 강남구 신사동 541-13 B1,3.9,5816.0,9.0,이자카야 / 오뎅 / 꼬치,2만원-3만원,17:30 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
포케올데이,서울시 강남구 신사동 540-5,3.9,1570.0,5.0,기타 양식,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"세컨디포레스트
                                    (가로수길점)",서울시 강남구 신사동 521-22 나라빌딩 1동 1F,3.9,8407.0,10.0,이탈리안,만원-2만원,11:30 - 20:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
샤오당쟈마라탕,서울시 강남구 신사동 514-5 2F,3.9,4489.0,9.0,기타 중식,만원-2만원,11:00 - 21:20,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
프론트서울,서울시 강남구 신사동 517-27 박태준만화회사,3.9,972.0,6.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
딩딤1968,서울시 강남구 신사동 521-10,3.8,69841.0,99.0,딤섬 / 만두,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
레이브릭스,서울시 강남구 신사동 555-13,3.8,78565.0,133.0,카페 / 디저트,만원 미만,월-토: 11:00 - 01:00 일: 12:00 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"마담타이
                                    (신사점)",서울시 강남구 신사동 541-2,3.8,10167.0,30.0,태국 음식,만원-2만원,월-금: 11:30 - 21:00 토-일: 11:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
모던오뎅,서울시 강남구 신사동 561-8,3.8,30596.0,28.0,이자카야 / 오뎅 / 꼬치,만원-2만원,18:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"은행골
                                    (신사점)",서울시 강남구 신사동 537-2,3.8,42484.0,94.0,회 / 스시,만원-2만원,11:00 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
태번 38,서울시 강남구 신사동 504-11 신사스퀘어 2F,3.8,57095.0,47.0,퓨전 양식,4만원 이상,11:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
카페그라쎄,서울시 강남구 신사동 543-11,3.8,35905.0,34.0,카페 / 디저트,만원 미만,화-토: 11:00 - 22:30 일: 11:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
몽리비스트로,서울시 강남구 신사동 541-10,3.8,70567.0,28.0,이탈리안,만원-2만원,16:30 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"랜디스도넛
                                    (가로수길점)",서울시 강남구 신사동 540-9,3.8,7452.0,21.0,카페 / 디저트,만원 미만,11:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"이코복스커피
                                    (가로수길점)",서울시 강남구 신사동 534-10,3.8,27338.0,38.0,카페 / 디저트,만원 미만,08:00 - 22:50,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
청자매운소돼지갈비찜,서울시 강남구 신사동 512-1,3.8,48810.0,25.0,고기 요리,만원-2만원,유동적,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
immute,서울시 강남구 신사동 553-20 1F,3.8,13044.0,15.0,카페 / 디저트,만원 미만,12:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
불공장,서울시 강남구 신사동 517-15,3.8,4702.0,7.0,일반 주점,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"37.5시그니처
                                    (가로수길)",서울시 강남구 신사동 535-21,3.8,2567.0,4.0,브런치 / 버거 / 샌드위치,만원-2만원,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
우오하나,서울시 강남구 신사동 521-1,3.8,4264.0,9.0,이자카야 / 오뎅 / 꼬치,3만원-4만원,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"한남동그집
                                    (신사가로수길점)",서울시 강남구 신사동 549-8 2F,3.8,12063.0,8.0,퓨전 한식,2만원-3만원,일-목: 17:30 - 02:00 금-토: 17:30 - 03:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
