estimation,reviewCount,위도,경도
4.6,72.0,37.539977,126.966998
4.6,133.0,37.563027,126.921519
4.6,56.0,37.537541,127.005165
4.6,69.0,37.531715,126.970242
4.6,57.0,37.55662,126.903976
4.6,75.0,37.524399,127.050457
4.6,51.0,37.523807,127.026492
4.6,163.0,37.573113,126.971819
4.6,67.0,37.515102,127.009083
4.6,32.0,37.580363,126.972065
4.6,59.0,37.523807,127.026492
4.6,113.0,37.569182,126.986053
4.6,83.0,37.523807,127.026492
4.6,53.0,37.541123,127.056125
4.6,39.0,37.55765,126.925663
4.6,133.0,37.558584,126.934113
4.6,38.0,37.513093,127.031353
4.6,63.0,37.541123,127.056125
4.6,91.0,37.553838,126.918765
4.6,121.0,37.496486,127.126006
4.6,11.0,37.531715,126.970242
4.6,80.0,37.523807,127.026492
4.6,16.0,37.530734,127.028461
4.6,44.0,37.553838,126.918765
4.6,28.0,37.557913,127.013655
4.6,28.0,37.524399,127.050457
4.6,38.0,37.513093,127.031353
4.6,38.0,37.563027,126.921519
4.6,25.0,37.524399,127.050457
4.6,129.0,37.524659,126.963299
4.6,47.0,37.563897,127.033258
4.6,17.0,37.513093,127.031353
4.6,38.0,37.524371,126.925958
4.6,34.0,37.5367,126.992151
4.6,23.0,37.547027,126.909029
4.6,50.0,37.55765,126.925663
4.6,28.0,37.541123,127.056125
4.6,55.0,37.544184,126.98511
4.6,81.0,37.5367,126.992151
4.6,76.0,37.55662,126.903976
4.6,17.0,37.537541,127.005165
4.6,45.0,37.571987,126.932812
4.6,14.0,37.524399,127.050457
4.6,18.0,37.524399,127.050457
4.6,36.0,37.486509,127.040738
4.6,32.0,37.523807,127.026492
4.6,16.0,37.506058,127.111216
4.6,62.0,37.581654,127.005083
4.6,33.0,37.5367,126.992151
4.6,11.0,37.581321,126.987016
4.6,44.0,37.482717,126.949951
4.6,42.0,37.557913,127.013655
4.6,50.0,37.571987,126.932812
4.6,17.0,37.528887,126.898848
4.6,15.0,37.537541,127.005165
4.6,10.0,37.524371,126.925958
4.6,12.0,37.524371,126.925958
4.6,28.0,37.496486,127.126006
4.6,57.0,37.463204,126.935795
4.6,12.0,37.523807,127.026492
4.6,44.0,37.570618,126.998135
4.6,31.0,37.492678,126.917721
4.6,27.0,37.581321,126.987016
4.6,27.0,37.541123,127.056125
4.6,24.0,37.537541,127.005165
4.6,26.0,37.571987,126.932812
4.6,29.0,37.557439,126.980748
4.6,37.0,37.582225,127.000008
4.6,45.0,37.5625,126.978056
4.6,26.0,37.517302,127.104967
4.6,36.0,37.488514,127.016222
4.6,15.0,37.506967,127.083673
4.6,10.0,37.543407,126.968276
4.6,10.0,37.574729,127.012062
4.6,6.0,37.484677,126.989955
4.6,18.0,37.541123,127.056125
4.6,12.0,37.566092,126.830395
4.6,11.0,37.484677,126.989955
4.6,9.0,37.523807,127.026492
4.6,7.0,37.569182,126.986053
4.6,27.0,37.534384,126.973765
4.6,28.0,37.463204,126.935795
4.6,11.0,37.524133,126.961987
4.6,6.0,37.500335,127.037596
4.6,4.0,37.563027,126.921519
4.6,4.0,37.484677,126.989955
4.6,8.0,37.537541,127.005165
4.6,12.0,37.558584,126.934113
4.6,9.0,37.563027,126.921519
4.6,5.0,37.512792,127.053085
4.6,9.0,37.53414,126.956862
4.6,8.0,37.544184,126.98511
4.6,7.0,37.572859,127.003417
