Addr,Score
"
서울 동작구 상도로37길 80
(지번) 상도동 486-8
",4.4
"
서울 동작구 만양로14다길 4 1층
(지번) 노량진동 123-3
",5.0
"
서울 동작구 만양로8길 59 1층
(지번) 노량진동 222-15
",4.0
"
서울 동작구 만양로 108
(지번) 노량진동 117-16
",3.0
"
서울 동작구 만양로 26 상도건영아파트 상가 B109호
(지번) 상도동 414
",5.0
"
서울 동작구 흑석로13마길 61
(지번) 흑석동 194-13
",3.8
"
서울 동작구 만양로14가길 4 1층
(지번) 노량진동 124-10
",3.4
"
서울 동작구 상도로 142
(지번) 상도동 191-5
",3.6
"
서울 동작구 노량진로26길 11
(지번) 본동 48-41
",3.5
"
서울 동작구 상도로30길 40 상도2차두산위브트레지움 1층상가 121호
(지번) 상도동 535
",5.0
"
서울 동작구 만양로 5
(지번) 상도동 22-108
",2.7
"
서울 동작구 장승배기로 130
(지번) 노량진동 231-106
",2.8
"
서울 동작구 상도로26길 12
(지번) 상도동 183-13
",4.8
"
서울 동작구 흑석로6길 6
(지번) 흑석동 207-5
",5.0
"
서울 동작구 양녕로 192 2층
(지번) 상도동 210-18
",5.0
"
서울 동작구 장승배기로 135
(지번) 노량진동 231-115
",5.0
"
서울 동작구 양녕로25길 2-4
(지번) 상도동 209-16
",5.0
"
서울 동작구 상도로 296-2 1층
(지번) 상도1동 389-12
",0.0
"
서울 동작구 상도로62길 35
(지번) 상도동 492-14
",2.6
"
서울 동작구 장승배기로24길 6 1층
(지번) 노량진동 232-19
",4.7
"
서울 동작구 노량진로16길 24
(지번) 노량진동 89-1
",3.1
"
서울 동작구 상도로26길 18 창조빌딩 2층
(지번) 상도동 183-61
",3.0
"
서울 동작구 상도로37길 45 1층 103호
(지번) 상도1동 357-3
",5.0
"
서울 동작구 만양로 10
(지번) 상도동 20-11
",5.0
"
서울 동작구 만양로14길 22
(지번) 노량진동 210-8
",4.2
"
서울 동작구 상도로 383
(지번) 상도동 500-16
",3.6
"
서울 동작구 상도로37길 44 희망하이츠빌 1층 102호
(지번) 상도1동 266-1
",0.0
"
서울 동작구 양녕로28길 42
(지번) 상도동 211-176
",3.5
"
서울 동작구 상도로 150 1층
(지번) 상도동 188-4
",4.1
"
서울 동작구 서달로13길 5-23
(지번) 흑석동 102-65
",4.8
"
서울 동작구 장승배기로10길 9
(지번) 상도동 369-6
",4.8
"
서울 동작구 장승배기로10길 23 2층
(지번) 상도동 373-34
",3.8
"
서울 동작구 장승배기로 75 1층
(지번) 상도동 368-8
",4.3
"
서울 동작구 만양로14길 44
(지번) 노량진동 206
",3.5
"
서울 동작구 상도로34길 3 1층
(지번) 상도동 29-1
",5.0
"
서울 동작구 만양로14길 24 1층
(지번) 노량진동 208
",4.6
"
서울 동작구 만양로 100
(지번) 노량진동 118-5
",2.7
"
서울 동작구 만양로 95 1층
(지번) 노량진동 119-70
",3.5
"
서울 동작구 상도로61길 40 정우빌딩 2층
(지번) 상도동 504-3
",4.6
"
서울 동작구 만양로 102-3 1층
(지번) 노량진동 117-11
",
"
서울 동작구 상도로15길 134 1층
(지번) 상도동 365-1
",1.7
"
서울 동작구 상도로 133 두덕빌딩 1층
(지번) 상도동 356
",2.9
"
서울 동작구 상도로15길 143
(지번) 상도동 363
",4.9
"
서울 동작구 만양로 108 2층
(지번) 노량진동 117-16
",2.4
"
서울 동작구 장승배기로 136
(지번) 노량진동 231-173
",4.2
"
서울 동작구 상도로37길 55
(지번) 상도동 465-1
",4.2
"
서울 동작구 만양로 19 신동아리버파크아파트 상가동 134호
(지번) 노량진동 325
",5.0
"
서울 동작구 서달로 134-1
(지번) 흑석동 228-11
",5.0
"
서울 동작구 만양로14다길 4 1층
(지번) 노량진동 123-3
",5.0
"
서울 동작구 장승배기로 139-1 1층
(지번) 노량진동 233-5
",3.0
"
서울 동작구 흑석로 87
(지번) 흑석동 190-41
",4.6
"
서울 동작구 상도로 126 1층
(지번) 상도동 355-9
",4.4
"
서울 동작구 양녕로26길 26
(지번) 상도동 210
",0.0
"
서울 동작구 흑석로11길 4
(지번) 흑석동 184-14
",3.0
"
서울 동작구 노량진로16길 14 2층
(지번) 노량진동 97-1
",4.0
"
서울 동작구 흑석로13가길 43
(지번) 흑석동 190-49
",4.3
"
서울 동작구 상도로15길 134 1층
(지번) 상도동 365-1
",3.0
"
서울 동작구 만양로3길 20 신동아리버파크빌 1층
(지번) 노량진동 325-4
",5.0
"
서울 동작구 서달로15길 22 1층
(지번) 흑석동 180-1
",4.5
"
서울 동작구 만양로 17
(지번) 상도동 19-16
",0.0
"
서울 동작구 상도로62길 44 1층
(지번) 상도동 489-3
",3.7
"
서울 동작구 만양로14길 27 1층
(지번) 노량진동 124-5
",5.0
"
서울 동작구 상도로60길 10
(지번) 상도동 493-13
",4.9
"
서울 동작구 사당로 18-1 2층
(지번) 상도동 502
",3.2
"
서울 동작구 노량진로 228
(지번) 본동 400
",4.0
"
서울 동작구 서달로12가길 5
(지번) 흑석동 97-22
",4.4
"
서울 동작구 만양로18길 10 2층
(지번) 노량진동 126-15
",1.9
"
서울 동작구 만양로14가길 16
(지번) 노량진동 125-15
",1.7
"
서울 동작구 상도로47길 21
(지번) 상도1동 347
",0.0
"
서울 동작구 양녕로27길 6
(지번) 상도동 208-33
",3.0
"
서울 동작구 노량진로16길 27
(지번) 노량진동 90-8
",2.4
"
서울 동작구 상도로38길 3-20
(지번) 상도1동 804-1
",0.0
"
서울 동작구 흑석로 84 R&D센터 지하1층 112호
(지번) 흑석동 221
",3.2
"
서울 동작구 상도로47길 22
(지번) 상도동 464-9
",1.0
"
서울 동작구 상도로38가길 1
(지번) 상도1동 741-1
",5.0
"
서울 동작구 상도로 177 1층
(지번) 상도동 365-1
",2.8
"
서울 동작구 상도로 217-4
(지번) 상도동 26-27
",0.0
"
서울 동작구 양녕로27길 8 1층
(지번) 상도동 208-34
",5.0
"
서울 동작구 만양로 86
(지번) 노량진동 123-11
",4.5
"
서울 동작구 상도로36길 39
(지번) 상도동 157-24
",0.0
"
서울 동작구 흑석로 88 2층
(지번) 흑석동 223-18
",3.4
"
서울 동작구 노량진로16길 27
(지번) 노량진동 90-8
",2.6
"
서울 동작구 만양로 84 지하 1층
(지번) 노량진동 330
",3.0
"
서울 동작구 상도로37길 55
(지번) 상도동 465-1
",0.0
"
서울 동작구 상도로38길 3-20
(지번) 상도1동 804-1
",0.0
"
서울 동작구 흑석로8길 4
(지번) 흑석동 223-46
",5.0
